a52dec 0.7.4-9
acl 2.2.52-4
acpi 1.7-2
adwaita-icon-theme 3.28.0-1
alsa-lib 1.1.6-1
alsa-plugins 1.1.6-1
alsa-utils 1.1.6-1
apm 1.19.0-6
arch-wiki-man 1.2.0-1
archlinux-keyring 20180404-1
argon2 20171227-3
aria2 1.33.1-1
arpack 3.5.0-3
asciidoc 8.6.10-1
aspell 0.60.6.1-5
astyle 3.1-1
at-spi2-atk 2.26.2-1
at-spi2-core 2.28.0-1
atk 2.28.1-1
atom 1.26.1-1
attr 2.4.47-3
audacity 2.2.2-1
autoconf 2.69-4
automake 1.15.1-1
avahi 0.7+4+gd8d8c67-1
bash 4.4.019-1
bc 1.07.1-1
binutils 2.30-3
bison 3.0.4-3
blas 3.8.0-1
bluez-libs 5.49-3
boost 1.66.0-2
boost-libs 1.66.0-2
brave-bin 0.13.5-1
bridge-utils 1.6-2
brotli 1.0.4-1
btrfs-progs 4.16-2
bubblewrap 0.2.1-1
bzip2 1.0.6-7
c-ares 1.13.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.36.1-1
ca-certificates-utils 20170307-1
cairo 1.15.12-1
cantarell-fonts 1:0.101-1
cava 0.6.0-1
cblas 3.8.0-1
cdparanoia 10.2-5
celt 0.11.3-3
celt0.5.1 0.5.1.3-3
chromaprint 1.4.3-1
chromium 66.0.3359.139-1
cifs-utils 6.7-2
cmake 3.11.1-1
cmark 0.28.3-1
cmus 2.7.1-9
colord 1.4.3-1
confuse 3.2.1-1
containerd 1.1.0-1
coreutils 8.29-1
cracklib 2.9.6-1
cryptsetup 2.0.2-1
curl 7.59.0-2
db 5.3.28-3
dbus 1.12.6-1
dbus-glib 0.110-1
dcadec 0.2.0-1
dconf 0.28.0-1
desktop-file-utils 0.23+4+g92af410-1
device-mapper 2.02.177-5
dhcpcd 7.0.4-1
dialog 1:1.3_20171209-1
diffutils 3.6-1
djvulibre 3.5.27-3
dkms 2.5-1
dmd 1:2.080.0-1
dmenu 4.8-1
dmraid 1.0.0.rc16.3-10
dnssec-anchors 20170711-1
docbook-xml 4.5-6
docbook-xsl 1.79.2-4
docker 1:18.04.0-1
docker-compose 1.21.2-1
dosfstools 4.1-1
dotconf 1.3-4
double-conversion 3.0.0-1
dtools 2.080.0-1
dub 1.9.0-1
e2fsprogs 1.44.1-1
eclipse-ecj 4.6.1-1
efibootmgr 15-1
efivar 34-1
electron 1.8.4-1
elfutils 0.170-1
emacs 25.3-3
enca 1.19-2
enchant 2.2.3-1
evince 3.28.2-1
expac 8-1
expat 2.2.5-1
faac 1.29.9.2-1
faad2 2.8.8-1
fakeroot 1.22-1
feh 2.26-1
ffmpeg 1:3.4.2-2
ffmpeg2.8 2.8.14-1
fftw 3.3.7-1
file 5.33-1
filesystem 2018.1-2
findutils 4.6.0-2
firefox 59.0.2-2
fish 2.7.1-1
flac 1.3.2-1
flex 2.6.4-1
flite 2.1-1
fltk 1.3.4.2-2
fontconfig 2.13.0+10+g58f5285-1
freetype2 2.9.1-1
fribidi 1.0.2-1
fuse-common 3.2.2-2
fuse2 2.9.7-4
gamin 0.1.10-8
gawk 4.2.1-1
gc 7.6.4-1
gcc 7.3.1+20180406-1
gcc-libs 7.3.1+20180406-1
gconf 3.2.6+11+g07808097-3
